/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([100])) that is different to the input size (torch.Size([100, 100, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
{'TEST!': 4, 'batch': 30, 'loss': 0.02196582593023777}
{'TEST!': 4, 'batch': 60, 'loss': 0.04705796018242836}
{'TEST!': 4, 'batch': 90, 'loss': 0.7342075705528259}
{'TEST!': 4, 'batch': 120, 'loss': 0.08969532698392868}
{'TEST!': 4, 'batch': 150, 'loss': 0.1851663440465927}
{'TEST!': 4, 'batch': 180, 'loss': 0.08720613270998001}
{'epoch': 5, 'batch': 0, 'loss': 0.25490620732307434}
{'epoch': 5, 'batch': 30, 'loss': 0.32861271500587463}
{'epoch': 5, 'batch': 60, 'loss': 0.02173142321407795}
{'epoch': 5, 'batch': 90, 'loss': 0.044581860303878784}
{'epoch': 5, 'batch': 120, 'loss': 0.03782184049487114}
{'epoch': 5, 'batch': 150, 'loss': 0.04485659301280975}
{'epoch': 5, 'batch': 180, 'loss': 0.03132006153464317}
{'epoch': 5, 'batch': 210, 'loss': 0.1186046153306961}
{'epoch': 5, 'batch': 240, 'loss': 0.33630529046058655}
{'epoch': 5, 'batch': 270, 'loss': 0.049733713269233704}
{'epoch': 5, 'batch': 300, 'loss': 0.18036174774169922}
{'epoch': 5, 'batch': 330, 'loss': 0.04518015310168266}
{'epoch': 5, 'batch': 360, 'loss': 0.08554336428642273}
{'epoch': 5, 'batch': 390, 'loss': 0.21428535878658295}
{'epoch': 5, 'batch': 420, 'loss': 0.13582055270671844}
{'epoch': 5, 'batch': 450, 'loss': 0.03119034133851528}
{'epoch': 5, 'batch': 480, 'loss': 0.022846465930342674}
{'epoch': 5, 'batch': 510, 'loss': 0.13522423803806305}
{'epoch': 5, 'batch': 540, 'loss': 0.03384581208229065}
{'epoch': 5, 'batch': 570, 'loss': 0.35452330112457275}
{'epoch': 5, 'batch': 600, 'loss': 1.9987322092056274}
{'TEST!': 5, 'batch': 0, 'loss': 0.09364330768585205}
{'TEST!': 5, 'batch': 30, 'loss': 0.919762134552002}
{'TEST!': 5, 'batch': 60, 'loss': 0.05946674197912216}
{'TEST!': 5, 'batch': 90, 'loss': 0.025283142924308777}
{'TEST!': 5, 'batch': 120, 'loss': 0.06651836633682251}
{'TEST!': 5, 'batch': 150, 'loss': 0.8049137592315674}
{'TEST!': 5, 'batch': 180, 'loss': 0.027891498059034348}
{'epoch': 6, 'batch': 0, 'loss': 0.6219337582588196}
