/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([100])) that is different to the input size (torch.Size([100, 1, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
{'epoch': 4, 'batch': 330, 'loss': 0.04620148241519928}
{'epoch': 4, 'batch': 360, 'loss': 0.062112901359796524}
{'epoch': 4, 'batch': 390, 'loss': 0.06702453643083572}
{'epoch': 4, 'batch': 420, 'loss': 0.06409857422113419}
{'epoch': 4, 'batch': 450, 'loss': 0.036956269294023514}
{'epoch': 4, 'batch': 480, 'loss': 0.17134547233581543}
{'epoch': 4, 'batch': 510, 'loss': 0.07573725283145905}
{'epoch': 4, 'batch': 540, 'loss': 0.3360106945037842}
{'epoch': 4, 'batch': 570, 'loss': 0.21059584617614746}
{'epoch': 4, 'batch': 600, 'loss': 0.04226518049836159}
{'TEST!': 4, 'batch': 0, 'loss': 0.06921010464429855}
{'TEST!': 4, 'batch': 30, 'loss': 0.08432288467884064}
{'TEST!': 4, 'batch': 60, 'loss': 0.035226836800575256}
{'TEST!': 4, 'batch': 90, 'loss': 0.17691002786159515}
{'TEST!': 4, 'batch': 120, 'loss': 0.03499177098274231}
{'TEST!': 4, 'batch': 150, 'loss': 0.03759470954537392}
{'TEST!': 4, 'batch': 180, 'loss': 0.055262982845306396}
{'epoch': 5, 'batch': 0, 'loss': 0.0600983165204525}
{'epoch': 5, 'batch': 30, 'loss': 0.0679268017411232}
{'epoch': 5, 'batch': 60, 'loss': 0.13017778098583221}
{'epoch': 5, 'batch': 90, 'loss': 0.04536157101392746}
{'epoch': 5, 'batch': 120, 'loss': 0.0702756941318512}
{'epoch': 5, 'batch': 150, 'loss': 0.025995904579758644}
{'epoch': 5, 'batch': 180, 'loss': 0.10543383657932281}
{'epoch': 5, 'batch': 210, 'loss': 0.1680736094713211}
{'epoch': 5, 'batch': 240, 'loss': 0.057166602462530136}
{'epoch': 5, 'batch': 270, 'loss': 0.05285432189702988}
{'epoch': 5, 'batch': 300, 'loss': 0.017088336870074272}
